embedding_dim,filters,train_samples,test_samples,train_loss,test_loss
50,10,1184,296,254.8789557895145,1741.31768963788
50,10,1184,296,582.3662644979116,309.74850499952163
50,10,1184,296,331.82925431148425,390.23349267083245
50,10,1184,296,478.72741944081076,302.28455631153
50,10,1184,296,308.40803088569965,204.68559244516734
