embedding_dim,filters,train_samples,test_samples,train_loss,test_loss
150,10,1184,296,242.85128727474728,1694.1797147183804
150,10,1184,296,507.9429514085924,237.9463816977836
150,10,1184,296,451.80260843844025,484.1938575538429
150,10,1184,296,1122.4709146860484,656.7383026947846
150,10,1184,296,288.3090470900407,179.10251947351404
