filters,patience,window_size,brand_train_samples,brand_test_samples,brand_train_f1,brand_test_f1,test_language
10,5,5,8032,31,0.9933872376612038,0.9941048335592155,pl
10,5,5,8054,9,0.9942952041881772,0.9790557103999462,nl
10,5,5,8017,46,0.9939784262412026,0.953227517702424,fr
10,5,5,3595,4468,0.9964875196770393,0.8939124981347735,en
10,5,5,4610,3453,0.9913236295138661,0.970070257309714,de
10,5,5,8007,56,0.9941890014951694,1.0,ca
