embedding_dim,filters,brand_train_samples,brand_test_samples,brand_train_f1,brand_test_f1,test_language
50,10,74,26,0.8426373626373627,0.03856749311294766,en
50,10,26,74,0.007272727272727272,0.02821316614420063,de
