embedding_dim,filters,brand_train_samples,brand_test_samples,brand_train_loss,brand_test_loss,test_language,train_language
50,10,26,74,0.01298701298701299,0.0,de,en
50,10,74,26,0.03137254901960785,0.0,en,de
