filters,patience,window_size,brand_train_samples,brand_test_samples,brand_train_f1,brand_test_f1,vendor_train_samples,vendor_test_samples,vendor_train_sigmoid,vendor_test_sigmoid,test_language
10,5,5,8084,31,0.432213059724453,0.4691345555851798,8084,31,0.9270395499385474,6.987667202875009,pl
10,5,5,8106,9,0.9850910419017369,0.9745558745022265,8106,9,12.208818133118987,10.702232862522159,nl
10,5,5,8069,46,0.4334860252861427,0.3592267251897074,8069,46,1.1485364848091033,3.9223193383626533,fr
10,5,5,3647,4468,0.9918829968778715,0.8971673772030488,3647,4468,4.350195587135275,13.197564808924982,en
